Customer ID,Age,Gender,Country,Language
CUST0001,56,Female,France,EN
CUST0002,69,Male,Germany,IT
CUST0003,46,Male,Spain,IT
CUST0004,32,Female,Spain,FR
CUST0005,60,Male,USA,DE
CUST0006,25,Male,UK,EN
CUST0007,38,Female,Germany,FR
CUST0008,56,Male,UK,DE
CUST0009,36,Male,Germany,DE
CUST0010,40,Male,USA,ES
CUST0011,28,Female,USA,EN
CUST0012,28,Female,Spain,DE
CUST0013,41,Female,UK,FR
CUST0014,53,Male,Italy,ES
CUST0015,57,Male,Spain,EN
CUST0016,41,Female,UK,IT
CUST0017,20,Male,Spain,FR
CUST0018,39,Male,Italy,DE
CUST0019,19,Female,France,DE
CUST0020,41,Female,France,FR
CUST0021,61,Male,France,DE
CUST0022,47,Male,France,ES
CUST0023,55,Male,Netherlands,EN
CUST0024,19,Female,Germany,ES
CUST0025,38,Female,Netherlands,DE
CUST0026,50,Female,Netherlands,IT
CUST0027,29,Female,Netherlands,EN
CUST0028,39,Male,France,EN
CUST0029,61,Female,Italy,FR
CUST0030,42,Female,USA,FR
CUST0031,66,Female,USA,IT
CUST0032,44,Female,Germany,EN
CUST0033,59,Female,France,IT
CUST0034,45,Male,France,FR
CUST0035,33,Male,France,FR
CUST0036,32,Female,Spain,EN
CUST0037,64,Male,UK,ES
CUST0038,68,Female,Spain,DE
CUST0039,61,Female,UK,FR
CUST0040,69,Male,France,FR
CUST0041,20,Male,France,ES
CUST0042,54,Female,Spain,ES
CUST0043,68,Female,Spain,IT
CUST0044,24,Female,UK,IT
CUST0045,38,Male,USA,DE
CUST0046,26,Female,UK,DE
CUST0047,56,Female,Spain,EN
CUST0048,35,Female,Italy,IT
CUST0049,21,Male,Spain,FR
CUST0050,42,Female,Italy,IT
CUST0051,31,Female,Germany,FR
CUST0052,67,Male,Spain,ES
CUST0053,26,Female,Germany,IT
CUST0054,43,Female,USA,ES
CUST0055,19,Male,UK,DE
CUST0056,37,Female,Italy,DE
CUST0057,45,Male,UK,EN
CUST0058,64,Male,Germany,IT
CUST0059,24,Female,Italy,ES
CUST0060,61,Female,UK,FR
CUST0061,25,Female,Spain,DE
CUST0062,64,Female,France,DE
CUST0063,52,Male,Germany,FR
CUST0064,31,Female,UK,ES
CUST0065,34,Male,Germany,ES
CUST0066,53,Female,Netherlands,IT
CUST0067,67,Female,Germany,IT
CUST0068,57,Female,Italy,EN
CUST0069,21,Male,Netherlands,DE
CUST0070,19,Female,Italy,IT
CUST0071,23,Female,France,ES
CUST0072,59,Female,Netherlands,FR
CUST0073,21,Female,Spain,ES
CUST0074,46,Male,Germany,DE
CUST0075,35,Female,UK,ES
CUST0076,43,Male,USA,EN
CUST0077,61,Male,Germany,DE
CUST0078,51,Male,Germany,FR
CUST0079,27,Male,France,EN
CUST0080,53,Male,Spain,DE
CUST0081,31,Male,USA,FR
CUST0082,48,Female,Netherlands,EN
CUST0083,65,Male,Netherlands,EN
CUST0084,32,Male,Netherlands,DE
CUST0085,25,Male,Italy,IT
CUST0086,31,Female,Italy,EN
CUST0087,40,Female,UK,EN
CUST0088,57,Male,USA,FR
CUST0089,38,Female,Netherlands,ES
CUST0090,33,Male,Italy,DE
CUST0091,62,Male,UK,DE
CUST0092,35,Female,Spain,IT
CUST0093,64,Male,UK,IT
CUST0094,41,Female,Italy,DE
CUST0095,43,Female,France,IT
CUST0096,42,Male,France,FR
CUST0097,62,Male,Netherlands,DE
CUST0098,58,Female,France,IT
CUST0099,46,Male,Netherlands,DE
CUST0100,32,Male,Netherlands,ES
CUST0101,62,Male,Italy,EN
CUST0102,18,Female,France,DE
CUST0103,42,Female,Netherlands,EN
CUST0104,24,Male,USA,IT
CUST0105,26,Female,Spain,EN
CUST0106,41,Female,UK,DE
CUST0107,18,Female,UK,ES
CUST0108,61,Female,Italy,IT
CUST0109,25,Female,France,DE
CUST0110,41,Male,France,IT
CUST0111,28,Male,Netherlands,FR
CUST0112,68,Male,Germany,EN
CUST0113,34,Female,Netherlands,FR
CUST0114,25,Female,Spain,DE
CUST0115,52,Male,USA,ES
CUST0116,52,Female,UK,IT
CUST0117,50,Male,Netherlands,EN
CUST0118,22,Male,Germany,IT
CUST0119,59,Male,Germany,DE
CUST0120,56,Female,Netherlands,IT
CUST0121,58,Female,Italy,EN
CUST0122,45,Male,UK,DE
CUST0123,24,Male,Italy,IT
CUST0124,26,Male,USA,ES
CUST0125,25,Male,Germany,DE
CUST0126,29,Female,Germany,DE
CUST0127,51,Female,Spain,ES
CUST0128,50,Male,USA,FR
CUST0129,65,Male,Germany,EN
CUST0130,40,Female,USA,FR
CUST0131,41,Female,UK,IT
CUST0132,54,Male,France,ES
CUST0133,52,Male,Germany,FR
CUST0134,61,Male,Spain,DE
CUST0135,57,Female,UK,IT
CUST0136,39,Female,Netherlands,IT
CUST0137,44,Female,USA,FR
CUST0138,52,Male,Netherlands,FR
CUST0139,18,Male,Italy,ES
CUST0140,52,Female,UK,EN
CUST0141,54,Female,Netherlands,FR
CUST0142,64,Male,Germany,FR
CUST0143,31,Female,USA,DE
CUST0144,20,Female,France,IT
CUST0145,18,Male,UK,EN
CUST0146,22,Female,Germany,DE
CUST0147,43,Male,Spain,ES
CUST0148,31,Male,Italy,ES
CUST0149,56,Male,USA,FR
CUST0150,44,Male,UK,FR
CUST0151,26,Male,UK,ES
CUST0152,32,Male,France,FR
CUST0153,32,Male,France,EN
CUST0154,43,Female,Spain,FR
CUST0155,59,Male,Italy,IT
CUST0156,30,Male,Spain,FR
CUST0157,68,Female,Germany,DE
CUST0158,49,Female,Germany,EN
CUST0159,56,Female,Spain,DE
CUST0160,66,Male,Italy,DE
CUST0161,69,Female,Spain,IT
CUST0162,49,Male,Italy,EN
CUST0163,21,Male,Italy,EN
CUST0164,47,Male,Netherlands,EN
CUST0165,54,Male,USA,EN
CUST0166,40,Female,Italy,EN
CUST0167,56,Female,France,IT
CUST0168,62,Male,Italy,FR
CUST0169,32,Male,Italy,DE
CUST0170,60,Male,Italy,EN
CUST0171,46,Female,Netherlands,FR
CUST0172,53,Male,Netherlands,FR
CUST0173,30,Male,Germany,DE
CUST0174,49,Female,Netherlands,IT
CUST0175,24,Female,France,ES
CUST0176,68,Male,France,ES
CUST0177,39,Female,Netherlands,FR
CUST0178,45,Female,Spain,DE
CUST0179,19,Male,USA,ES
CUST0180,59,Female,Netherlands,FR
CUST0181,62,Male,Italy,IT
CUST0182,23,Female,UK,ES
CUST0183,45,Male,USA,FR
CUST0184,45,Male,USA,FR
CUST0185,61,Male,France,EN
CUST0186,61,Female,USA,IT
CUST0187,37,Male,Netherlands,EN
CUST0188,47,Female,Italy,DE
CUST0189,28,Male,Italy,EN
CUST0190,45,Male,Germany,EN
CUST0191,42,Female,Italy,ES
CUST0192,56,Male,Italy,FR
CUST0193,50,Male,France,IT
CUST0194,18,Female,Italy,EN
CUST0195,44,Male,Germany,IT
CUST0196,69,Male,UK,EN
CUST0197,30,Male,Netherlands,DE
CUST0198,58,Male,France,EN
CUST0199,20,Female,UK,ES
CUST0200,56,Female,France,FR
CUST0201,23,Male,Spain,DE
CUST0202,25,Female,USA,EN
CUST0203,44,Male,Spain,IT
CUST0204,26,Female,Italy,DE
CUST0205,54,Male,UK,DE
CUST0206,50,Male,Italy,EN
CUST0207,68,Male,USA,DE
CUST0208,59,Male,France,IT
CUST0209,61,Male,USA,DE
CUST0210,41,Male,Germany,IT
CUST0211,32,Female,USA,EN
CUST0212,49,Male,Germany,FR
CUST0213,49,Female,USA,DE
CUST0214,41,Male,Netherlands,FR
CUST0215,58,Female,Germany,IT
CUST0216,69,Female,UK,DE
CUST0217,66,Female,Italy,ES
CUST0218,66,Male,Italy,FR
CUST0219,69,Male,Spain,DE
CUST0220,29,Female,Italy,FR
CUST0221,56,Male,France,DE
CUST0222,19,Female,Netherlands,EN
CUST0223,20,Male,USA,FR
CUST0224,66,Female,Spain,ES
CUST0225,54,Female,France,ES
CUST0226,66,Male,France,IT
CUST0227,34,Female,Germany,DE
CUST0228,66,Male,Italy,FR
CUST0229,19,Female,UK,IT
CUST0230,19,Female,UK,FR
CUST0231,45,Male,Spain,DE
CUST0232,40,Male,Netherlands,ES
CUST0233,54,Male,UK,EN
CUST0234,49,Female,USA,ES
CUST0235,50,Male,UK,IT
CUST0236,18,Female,Spain,EN
CUST0237,36,Female,UK,IT
CUST0238,19,Male,USA,DE
CUST0239,61,Male,Germany,EN
CUST0240,43,Female,Netherlands,IT
CUST0241,49,Female,Spain,DE
CUST0242,23,Male,Germany,ES
CUST0243,49,Male,Germany,DE
CUST0244,21,Male,Germany,FR
CUST0245,28,Male,France,DE
CUST0246,34,Male,Netherlands,DE
CUST0247,55,Female,Italy,FR
CUST0248,41,Female,Netherlands,IT
CUST0249,22,Female,France,IT
CUST0250,69,Female,Italy,DE
CUST0251,51,Male,Netherlands,FR
CUST0252,23,Male,Germany,FR
CUST0253,39,Male,Spain,ES
CUST0254,28,Female,Italy,IT
CUST0255,65,Female,USA,EN
CUST0256,33,Male,USA,IT
CUST0257,50,Male,UK,IT
CUST0258,26,Female,Italy,ES
CUST0259,23,Female,Spain,EN
CUST0260,33,Male,France,ES
CUST0261,46,Male,Germany,EN
CUST0262,20,Female,UK,DE
CUST0263,37,Male,USA,EN
CUST0264,53,Male,France,ES
CUST0265,36,Male,France,IT
CUST0266,43,Female,Germany,EN
CUST0267,20,Female,Italy,EN
CUST0268,36,Female,USA,FR
CUST0269,37,Female,Spain,IT
CUST0270,49,Female,France,DE
CUST0271,24,Female,Germany,ES
CUST0272,69,Female,Spain,DE
CUST0273,58,Male,Italy,IT
CUST0274,50,Male,USA,EN
CUST0275,57,Male,Italy,EN
CUST0276,56,Male,France,IT
CUST0277,35,Male,Spain,EN
CUST0278,57,Male,Spain,EN
CUST0279,18,Male,Spain,EN
CUST0280,28,Female,France,ES
CUST0281,45,Female,France,ES
CUST0282,42,Male,Italy,FR
CUST0283,67,Male,UK,DE
CUST0284,40,Female,Italy,IT
CUST0285,48,Male,USA,IT
CUST0286,47,Male,Germany,IT
CUST0287,59,Female,Spain,FR
CUST0288,52,Male,UK,ES
CUST0289,24,Female,Germany,FR
CUST0290,33,Male,UK,IT
CUST0291,43,Female,Netherlands,DE
CUST0292,65,Female,Italy,EN
CUST0293,69,Female,France,ES
CUST0294,66,Male,Spain,ES
CUST0295,19,Female,Italy,FR
CUST0296,18,Male,Germany,ES
CUST0297,65,Male,Netherlands,IT
CUST0298,29,Male,Netherlands,IT
CUST0299,22,Male,Netherlands,FR
CUST0300,54,Female,Germany,IT
CUST0301,49,Female,Germany,DE
CUST0302,26,Male,Germany,FR
CUST0303,58,Male,Germany,DE
CUST0304,52,Female,Netherlands,EN
CUST0305,36,Male,Netherlands,DE
CUST0306,65,Female,UK,EN
CUST0307,33,Male,Italy,EN
CUST0308,20,Male,Spain,DE
CUST0309,37,Female,France,FR
CUST0310,41,Male,Netherlands,IT
CUST0311,50,Female,France,IT
CUST0312,41,Male,Italy,EN
CUST0313,69,Male,Italy,EN
CUST0314,28,Male,France,FR
CUST0315,66,Female,Netherlands,ES
CUST0316,25,Male,France,DE
CUST0317,53,Male,UK,EN
CUST0318,55,Male,USA,IT
CUST0319,57,Male,Netherlands,FR
CUST0320,37,Female,Netherlands,DE
CUST0321,52,Female,Spain,FR
CUST0322,65,Male,Germany,DE
CUST0323,42,Female,USA,DE
CUST0324,52,Male,Italy,EN
CUST0325,42,Male,Netherlands,FR
CUST0326,46,Male,France,FR
CUST0327,35,Female,USA,IT
CUST0328,63,Female,Spain,IT
CUST0329,35,Female,Italy,EN
CUST0330,19,Female,Germany,EN
CUST0331,52,Female,Germany,ES
CUST0332,33,Female,Spain,IT
CUST0333,58,Female,Spain,DE
CUST0334,53,Female,France,FR
CUST0335,50,Female,Netherlands,EN
CUST0336,21,Male,Germany,FR
CUST0337,50,Female,Italy,FR
CUST0338,31,Female,USA,ES
CUST0339,38,Female,Italy,IT
CUST0340,65,Female,UK,EN
CUST0341,37,Female,UK,FR
CUST0342,25,Female,Spain,EN
CUST0343,24,Female,France,DE
CUST0344,20,Female,UK,ES
CUST0345,34,Female,Germany,DE
CUST0346,50,Female,Italy,EN
CUST0347,65,Female,Italy,EN
CUST0348,29,Male,Spain,IT
CUST0349,68,Male,Netherlands,FR
CUST0350,39,Female,Netherlands,FR
CUST0351,39,Female,USA,DE
CUST0352,63,Male,Spain,ES
CUST0353,47,Female,USA,FR
CUST0354,55,Male,Netherlands,IT
CUST0355,55,Male,Spain,DE
CUST0356,62,Male,Spain,DE
CUST0357,68,Male,Spain,IT
CUST0358,25,Male,Netherlands,ES
CUST0359,44,Female,USA,IT
CUST0360,44,Male,USA,ES
CUST0361,51,Female,Spain,IT
CUST0362,38,Female,UK,IT
CUST0363,47,Male,France,EN
CUST0364,50,Male,Netherlands,DE
CUST0365,45,Female,France,IT
CUST0366,64,Male,France,IT
CUST0367,50,Male,USA,FR
CUST0368,22,Female,USA,DE
CUST0369,65,Female,UK,FR
CUST0370,36,Male,France,DE
CUST0371,21,Female,France,FR
CUST0372,52,Male,Spain,IT
CUST0373,66,Male,USA,IT
CUST0374,34,Male,France,EN
CUST0375,61,Female,Italy,FR
CUST0376,45,Female,UK,ES
CUST0377,47,Female,Italy,EN
CUST0378,46,Female,Italy,FR
CUST0379,63,Female,Netherlands,FR
CUST0380,23,Male,Netherlands,EN
CUST0381,52,Male,UK,IT
CUST0382,58,Male,Italy,FR
CUST0383,54,Male,France,IT
CUST0384,41,Female,USA,EN
CUST0385,46,Male,UK,IT
CUST0386,66,Female,Spain,DE
CUST0387,63,Male,Italy,ES
CUST0388,48,Female,UK,FR
CUST0389,52,Female,Germany,ES
CUST0390,50,Male,Germany,IT
CUST0391,69,Male,Netherlands,FR
CUST0392,38,Male,USA,IT
CUST0393,49,Male,France,DE
CUST0394,40,Female,USA,EN
CUST0395,50,Male,USA,FR
CUST0396,20,Male,USA,DE
CUST0397,35,Female,USA,DE
CUST0398,42,Male,Spain,FR
CUST0399,59,Male,Spain,IT
CUST0400,48,Male,Netherlands,DE
CUST0401,20,Male,UK,ES
CUST0402,57,Male,Germany,DE
CUST0403,63,Female,USA,IT
CUST0404,41,Male,Netherlands,IT
CUST0405,67,Male,UK,ES
CUST0406,49,Male,Germany,DE
CUST0407,64,Male,Italy,IT
CUST0408,39,Male,France,FR
CUST0409,40,Female,Spain,EN
CUST0410,19,Male,Italy,EN
CUST0411,44,Female,Germany,EN
CUST0412,59,Female,Italy,DE
CUST0413,19,Male,France,ES
CUST0414,43,Male,Netherlands,IT
CUST0415,34,Male,Germany,FR
CUST0416,57,Male,Italy,FR
CUST0417,50,Female,Spain,DE
CUST0418,26,Male,Spain,EN
CUST0419,60,Male,UK,DE
CUST0420,65,Male,Italy,ES
CUST0421,56,Male,USA,ES
CUST0422,46,Male,Italy,IT
CUST0423,59,Male,Netherlands,IT
CUST0424,43,Female,Germany,ES
CUST0425,52,Female,Germany,ES
CUST0426,67,Male,Netherlands,ES
CUST0427,42,Male,Italy,DE
CUST0428,41,Male,Netherlands,ES
CUST0429,30,Female,France,FR
CUST0430,24,Male,Netherlands,EN
CUST0431,53,Female,Spain,ES
CUST0432,62,Male,Netherlands,EN
CUST0433,37,Male,Germany,DE
CUST0434,18,Male,Spain,EN
CUST0435,25,Male,Germany,DE
CUST0436,63,Female,UK,FR
CUST0437,33,Female,USA,DE
CUST0438,31,Male,Germany,DE
CUST0439,29,Male,Spain,IT
CUST0440,68,Female,UK,ES
CUST0441,40,Female,Germany,ES
CUST0442,32,Female,France,FR
CUST0443,45,Female,Netherlands,FR
CUST0444,51,Male,USA,ES
CUST0445,19,Female,Germany,IT
CUST0446,49,Male,UK,ES
CUST0447,40,Female,France,IT
CUST0448,39,Female,Italy,FR
CUST0449,68,Female,UK,EN
CUST0450,42,Female,Netherlands,FR
CUST0451,39,Female,UK,FR
CUST0452,39,Male,France,DE
CUST0453,66,Male,UK,DE
CUST0454,69,Female,France,DE
CUST0455,59,Female,Germany,DE
CUST0456,23,Male,France,IT
CUST0457,32,Female,France,ES
CUST0458,60,Female,USA,EN
CUST0459,54,Male,France,FR
CUST0460,50,Female,France,IT
CUST0461,25,Female,Italy,EN
CUST0462,61,Male,Germany,IT
CUST0463,61,Male,Netherlands,IT
CUST0464,22,Male,USA,FR
CUST0465,56,Female,Italy,ES
CUST0466,21,Male,Spain,DE
CUST0467,23,Male,Germany,ES
CUST0468,62,Male,Germany,FR
CUST0469,49,Male,Spain,FR
CUST0470,69,Male,Netherlands,FR
CUST0471,47,Male,France,EN
CUST0472,64,Female,Italy,ES
CUST0473,52,Female,UK,ES
CUST0474,57,Male,USA,IT
CUST0475,69,Male,UK,IT
CUST0476,33,Male,Spain,IT
CUST0477,30,Female,Germany,FR
CUST0478,67,Female,Netherlands,ES
CUST0479,59,Female,Germany,FR
CUST0480,47,Female,USA,EN
CUST0481,36,Female,Germany,IT
CUST0482,34,Female,Germany,FR
CUST0483,36,Female,USA,FR
CUST0484,45,Female,Italy,EN
CUST0485,43,Female,Italy,DE
CUST0486,54,Male,USA,ES
CUST0487,43,Male,Netherlands,DE
CUST0488,40,Male,Spain,IT
CUST0489,26,Male,Germany,FR
CUST0490,29,Female,Netherlands,EN
CUST0491,18,Female,Germany,EN
CUST0492,18,Male,Spain,ES
CUST0493,64,Female,Italy,DE
CUST0494,51,Male,Netherlands,ES
CUST0495,49,Female,France,FR
CUST0496,65,Male,France,ES
CUST0497,42,Female,France,EN
CUST0498,57,Female,Italy,EN
CUST0499,62,Male,Italy,IT
CUST0500,18,Female,Spain,IT
